,x,y,z,c
2500,-3.4599915,0.6368866,8.598328,stairsdown
2501,-3.0624695,0.3393402,8.528107,stairsdown
2502,-2.7673035,0.091781616,8.436461999999999,stairsdown
2503,-2.5256958,-0.073654175,8.381714,stairsdown
2504,-2.4685669999999997,-0.22599792,8.281738,stairsdown
2505,-2.5256958,-0.3176422,8.253174000000001,stairsdown
2506,-2.6340027000000004,-0.4247589,8.090117999999999,stairsdown
2507,-2.649475,-0.5318755999999999,8.017517,stairsdown
2508,-2.7792053,-0.66993713,7.758056599999999,stairsdown
2509,-3.0624695,-0.8377533000000001,7.217712400000001,stairsdown
2510,-2.9672546000000004,-0.73420715,7.6033325,stairsdown
2511,-3.207672,-0.86750793,7.0653687000000005,stairsdown
2512,-3.3623962,-0.89845276,6.734497,stairsdown
2513,-3.3623962,-0.88298035,6.360779,stairsdown
2514,-3.4814148,-0.8806,6.233429,stairsdown
2515,-3.3362122000000003,-0.73420715,6.0560913,stairsdown
2516,-3.174347,-0.5806732,6.0120544,stairsdown
2517,-3.0577087000000005,-0.41404724,5.990631,stairsdown
2518,-2.9232178,-0.2771759,6.0691833,stairsdown
2519,-2.80896,-0.20100403,6.0584717,stairsdown
2520,-2.7803955,-0.08079529,6.0525208,stairsdown
2521,-2.814911,-0.105789185,5.881133999999999,stairsdown
2522,-2.8613281,-0.02961731,5.7454529999999995,stairsdown
2523,-3.0255737000000003,-0.13554382,5.5062256,stairsdown
2524,-3.4326171999999997,-0.21528625,5.4157715,stairsdown
2525,-4.0110474,-0.2700348,5.2646180000000005,stairsdown
2526,-4.8263245,-0.14863586,5.289612,stairsdown
2527,-5.95224,-0.11054993,5.464569,stairsdown
2528,-7.217407000000001,-0.05104065,5.438385,stairsdown
2529,-8.445679,-0.1950531,5.3895874,stairsdown
2530,-9.67157,-0.50450134,5.122986,stairsdown
2531,-10.540405,-0.6806488,5.0051575,stairsdown
2532,-10.960541000000001,-0.7722931,5.057525599999999,stairsdown
2533,-11.1128845,-0.73420715,5.356262,stairsdown
2534,-10.922455000000001,-0.48902893,5.875183,stairsdown
2535,-10.060760499999999,-0.11293030000000001,6.670227000000001,stairsdown
2536,-9.364502,0.15367126,7.5069275,stairsdown
2537,-9.100280999999999,0.49406433,8.232941,stairsdown
2538,-8.769409,0.5607147,9.011322,stairsdown
2539,-8.793213,0.64759827,9.880157,stairsdown
2540,-8.994354,0.8665924,11.079864500000001,stairsdown
2541,-9.080048,1.133194,12.159363,stairsdown
2542,-9.139557,1.4616851999999998,13.265045,stairsdown
2543,-9.4133,1.6437836,14.185058999999999,stairsdown
2544,-9.67395,1.9341887999999998,14.917023,stairsdown
2545,-10.092895500000001,2.109146,15.658508,stairsdown
2546,-10.321411,2.2710114,16.449982000000002,stairsdown
2547,-11.322357,2.3733673,17.325958,stairsdown
2548,-10.796294999999999,2.4959564,17.358093,stairsdown
2549,-10.898651,2.641159,17.65683,stairsdown
2550,-10.396393,2.2162627999999995,17.127197,stairsdown
2551,-10.760589999999999,2.5042877,17.433075,stairsdown
2552,-9.851288,2.0186919999999997,16.833220999999998,stairsdown
2553,-9.165741,1.9841766,16.339294,stairsdown
2554,-8.265961,1.9056243999999998,15.757294,stairsdown
2555,-7.670868,1.8115997,14.857513,stairsdown
2556,-7.306671000000001,1.7497101000000002,13.774445000000002,stairsdown
2557,-7.2078857,1.7021026999999997,12.834197999999999,stairsdown
2558,-7.0472107,1.6152191,11.995117,stairsdown
2559,-6.8841553,1.4878693,11.017975,stairsdown
2560,-6.6496887000000005,1.3843231000000003,10.208649000000001,stairsdown
2561,-6.471161,1.2902985,9.44931,stairsdown
2562,-6.191467299999999,1.306961,8.873260499999999,stairsdown
2563,-5.8974915,1.3807526,8.566193,stairsdown
2564,-5.8082275,1.2307892,8.152008,stairsdown
2565,-5.708252,1.1224823,7.7497253,stairsdown
2566,-5.5892334,0.9808502,7.385528599999999,stairsdown
2567,-5.4618835,0.8654021999999999,7.018951400000001,stairsdown
2568,-5.3333435,0.7249603,6.778534,stairsdown
2569,-4.902496299999999,0.45240784,6.084656,stairsdown
2570,-5.0703125,0.5369109999999999,6.364349400000001,stairsdown
2571,-4.597809,0.35957336,5.9132690000000006,stairsdown
2572,-4.3954773000000005,0.30125427,5.6835629999999995,stairsdown
2573,-4.131256,0.23222351,5.5478819999999995,stairsdown
2574,-3.9229736000000006,0.158432,5.3253174,stairsdown
2575,-3.6242370000000004,0.010848999,5.2931824,stairsdown
2576,-3.3409730000000004,-0.0879364,5.190826400000001,stairsdown
2577,-3.1017456,-0.17601013,5.131317,stairsdown
2578,-2.956543,-0.30693054,4.962311,stairsdown
2579,-2.6958922999999997,-0.4247589,4.751648,stairsdown
2580,-2.8815612999999995,-0.34739685,4.95636,stairsdown
2581,-2.500702,-0.4997406,4.6338196,stairsdown
2582,-2.5221252,-0.4426117,4.649292,stairsdown
2583,-2.4804687999999997,-0.41404724,4.6552430000000005,stairsdown
2584,-2.4530945,-0.37120056,4.6338196,stairsdown
2585,-2.462616,-0.33311462,4.799255400000001,stairsdown
2586,-2.3793029999999997,-0.32240295,4.799255400000001,stairsdown
2587,-2.2555237,-0.27598572,4.8837585,stairsdown
2588,-2.2233887,-0.3271637,4.779022,stairsdown
2589,-2.007965,-0.39024353,4.9527893,stairsdown
2590,-2.0936584,-0.3271637,4.8313904,stairsdown
2591,-1.8389587,-0.3854828,4.9980164,stairsdown
2592,-1.6509093999999997,-0.5104523,5.2312927,stairsdown
2593,-1.6509093999999997,-0.5104523,5.2312927,stairsdown
2594,-1.6318665,-0.6044769,5.321747,stairsdown
2595,-1.6342468,-0.56996155,5.353882,stairsdown
2596,-1.968689,-0.5818634,5.2336730000000005,stairsdown
2597,-1.968689,-0.5818634,5.2336730000000005,stairsdown
2598,-2.1448364,-0.5175934,5.271758999999999,stairsdown
2599,-2.436432,-0.34977722,5.200348,stairsdown
2600,-2.5709229,0.020370483,5.1479797,stairsdown
2601,-2.5709229,0.020370483,5.1479797,stairsdown
2602,-2.6447144000000002,0.2500763,5.1836853,stairsdown
2603,-2.6256714,0.35124207,4.7742615,stairsdown
2604,-2.6054382,0.44407654,4.643341,stairsdown
2605,-2.7161255,0.60118103,4.2351074,stairsdown
2606,-3.0029602000000004,0.7499541999999999,4.195831299999999,stairsdown
2607,-3.552826,1.0046539,4.135132,stairsdown
2608,-4.278839,1.2831573,4.327942,stairsdown
2609,-4.9501038,1.4890594,4.354126,stairsdown
2610,-5.3714294,1.7306671000000002,4.4100647,stairsdown
2611,-5.541626,2.0877228,4.4719543,stairsdown
2612,-5.534485,2.3697967999999996,4.467193599999999,stairsdown
2613,-5.241699,2.5280914,4.495758,stairsdown
2614,-4.898926,2.6899567,4.592162999999999,stairsdown
2615,-4.366912999999999,2.6780548,4.6909485,stairsdown
2616,-3.7980042000000003,2.6483002,4.744507,stairsdown
2617,-3.4159546,2.4138336,4.9170837,stairsdown
2618,-3.290985,2.0877228,4.9777830000000005,stairsdown
2619,-3.552826,1.7794647000000001,5.168213,stairsdown
2620,-4.0884094,1.3926544,5.220581,stairsdown
2621,-4.995331,0.9320526,5.474090599999999,stairsdown
2622,-6.3723754999999995,0.35124207,5.6788025,stairsdown
2623,-7.5137634,0.35362244,6.042999299999999,stairsdown
2624,-9.250244,0.7440033,6.830902,stairsdown
2625,-11.041473,1.3033905000000001,8.034180000000001,stairsdown
2626,-12.921967,1.8925323,9.093445,stairsdown
2627,-14.863159,2.2448273,9.882538,stairsdown
2628,-16.098572,2.3959808,10.183655,stairsdown
2629,-16.532989999999998,2.1424713,9.776611,stairsdown
2630,-14.766754,1.4378815,8.635223,stairsdown
2631,-11.975769,0.5702362,7.8806458,stairsdown
2632,-9.712036,-0.22837829999999998,7.485504,stairsdown
2633,-7.1733704,-0.6151886,8.144867,stairsdown
2634,-5.24646,-0.70921326,9.282684,stairsdown
2635,-4.309784,-0.89012146,10.376465,stairsdown
2636,-4.0515137,-1.041275,11.377411,stairsdown
2637,-4.3014526,-1.4864044,12.117706,stairsdown
2638,-4.809662,-1.9339142,12.565216,stairsdown
2639,-5.6475525,-2.1493377999999996,13.022247,stairsdown
2640,-7.032928500000001,-2.252884,13.398345999999998,stairsdown
2641,-8.767028999999999,-2.3849945,14.120789000000002,stairsdown
2642,-10.774872,-2.6670685,14.758728,stairsdown
2643,-12.585144,-2.74086,15.34906,stairsdown
2644,-14.172851999999999,-2.6920624,15.979857999999998,stairsdown
2645,-15.0000305,-2.5599517999999994,16.303589000000002,stairsdown
2646,-14.834595000000002,-2.1195831000000003,16.410706,stairsdown
2647,-13.671783,-2.0588837,15.957245,stairsdown
2648,-11.428284,-1.7815703999999999,15.203857000000001,stairsdown
2649,-8.933655,-1.4340363,14.457610999999998,stairsdown
2650,-6.733001700000001,-0.93058777,14.007720999999998,stairsdown
2651,-5.347625700000001,-0.66993713,13.399536,stairsdown
2652,-4.8013306,-0.4997406,12.931792999999999,stairsdown
2653,-4.8406067,-0.45451355,12.3497925,stairsdown
2654,-5.209564,-0.24623108,11.945129,stairsdown
2655,-5.861786,-0.07841492,11.505951,stairsdown
2656,-7.131714,0.33576965,10.929901,stairsdown
2657,-7.5030518,0.40361023,10.556183,stairsdown
2658,-7.5030518,0.40361023,10.556183,stairsdown
2659,-7.5768433,0.44288635,10.245544,stairsdown
2660,-7.220978,0.5809479000000001,9.661163,stairsdown
2661,-7.220978,0.5809479000000001,9.661163,stairsdown
2662,-6.374756,0.767807,9.217224,stairsdown
2663,-6.374756,0.767807,9.217224,stairsdown
2664,-5.7570496,0.7499541999999999,8.8685,stairsdown
2665,-5.7570496,0.7499541999999999,8.8685,stairsdown
2666,-5.367858999999999,0.42027283,8.655457,stairsdown
2667,-5.1036377,0.49882507,8.74353,stairsdown
2668,-4.9989014,0.42860413,8.606659,stairsdown
2669,-4.9667664,0.22032166,8.390044999999999,stairsdown
2670,-4.835846,-0.012954712,8.259125,stairsdown
2671,-4.615661599999999,-0.07484436,7.9699097000000005,stairsdown
2672,-4.303833,-0.18196106,7.874695,stairsdown
2673,-3.9396362000000003,-0.27241516,7.852081299999999,stairsdown
2674,-3.6444702000000007,-0.36643982,7.8330383,stairsdown
2675,-3.2374267999999997,-0.4164276,7.836608999999999,stairsdown
2676,-2.8875122,-0.37239075,7.8032837,stairsdown
2677,-2.5304564999999997,-0.43785095,7.8485107,stairsdown
2678,-2.2626647999999996,-0.36763,7.731872599999999,stairsdown
2679,-2.046051,-0.35215759999999996,7.7009277,stairsdown
2680,-1.9306029999999998,-0.32240295,7.5759583,stairsdown
2681,-1.699707,-0.30336,7.4747925,stairsdown
2682,-1.5616455,-0.28907776,7.441467299999999,stairsdown
2683,-1.5426024999999999,-0.1617279,7.241516000000001,stairsdown
2684,-1.6640015,-0.13673401,6.9499207,stairsdown
2685,-1.9163207999999998,-0.023666382000000003,6.753539999999999,stairsdown
2686,-2.2031555,0.038223267000000005,6.5416870000000005,stairsdown
2687,-2.5042725,0.08345032,6.30365,stairsdown
2688,-2.8553772,0.13105774,6.081085,stairsdown
2689,-3.206482,0.12748718,5.818054,stairsdown
2690,-3.3540650000000003,0.08226013,5.585968,stairsdown
2691,-3.5861511,-0.041519165,5.2241516,stairsdown
2692,-3.546875,-0.06413269,5.007537999999999,stairsdown
2693,-3.3397827000000007,-0.13078308,4.804016000000001,stairsdown
2694,-3.1029357999999996,-0.13554382,4.7599792,stairsdown
2695,-2.9172667999999997,-0.2117157,4.8016357,stairsdown
2696,-2.6851807,-0.21885681,4.986114499999999,stairsdown
2697,-2.7089844,-0.31407166,5.174164,stairsdown
2698,-2.7339783,-0.5747223000000001,5.40506,stairsdown
2699,-2.7922974,-0.9853363000000002,5.4490967,stairsdown
2700,-3.0136719,-1.4697418,5.5788269999999995,stairsdown
2701,-3.2041016,-1.9374846999999997,5.6716614000000005,stairsdown
2702,-3.3266907,-2.3100127999999995,5.6728515999999996,stairsdown
2703,-3.4135742,-2.7075348,5.6490480000000005,stairsdown
2704,-3.5932922,-3.0193634,5.9239807,stairsdown
2705,-3.5694885000000003,-3.2514496,5.9811096,stairsdown
